 ;Area;Mean;Min;Max;Angle;Length;;;C_Generada;C_Manipulador;Error_Absoluto;Error_Relativo;Error_Porcentual
1;216.516;146.534;42.000;203.667;19.841;210.930;;1;210,9300;142,6290;68,3010;0,3238;32,4%
2;146.436;140.977;42.290;175.134;18.825;142.629;;2;213,6130;142,7790;70,8340;0,3316;33,2%
3;219.654;163.343;42.000;174.560;5.219;213.613;;3;217,7930;145,1160;72,6770;0,3337;33,4%
4;147.482;162.086;42.000;174.250;5.343;142.779;;4;220,1220;144,6640;75,4580;0,3428;34,3%
5;223.838;167.627;42.000;210.605;-13.579;217.793;;5;219,9650;144,7010;75,2640;0,3422;34,2%
6;149.574;164.584;42.000;174.106;-13.449;145.116;;6;220,6490;144,5270;76,1220;0,3450;34,5%
7;225.930;168.746;42.790;191.460;-33.247;220.122;;7;217,7140;140,8730;76,8410;0,3529;35,3%
8;148.528;166.206;42.860;175.360;-33.465;144.664;;8;215,0770;142,3390;72,7380;0,3382;33,8%
9;225.930;167.249;44.030;208.563;-46.884;219.965;;9;215,0400;140,9510;74,0890;0,3445;34,5%
10;148.528;167.241;44.079;175.084;-46.718;144.701;;10;208,0160;141,6100;66,4060;0,3192;31,9%
11;226.976;168.691;42.238;193.106;-59.036;220.649;;11;203,3250;141,8610;61,4640;0,3023;30,2%
12;148.528;168.381;42.305;175.813;-58.897;144.527;;Promedio;214,7495;142,9136;;;33,4%
13;223.838;169.478;42.106;193.122;-63.194;217.714;;;C_Generada;C_Manipulador;;;
14;145.390;167.971;42.110;175.020;-63.249;140.873;;Des_estandar;5,48;1,58;;;
15;220.700;169.546;42.185;194.808;-71.134;215.077;;;;;;;
16;146.436;167.309;42.186;174.631;-70.263;142.339;;;;;;;
17;220.700;169.435;42.037;236.286;-83.720;215.040;;;;;;;
18;145.390;167.580;42.057;173.771;-83.752;140.951;;;;;;;
19;213.378;173.287;42.000;226.115;-100.481;208.016;;;;;;;
20;145.390;174.632;42.000;229.241;-100.823;141.610;;;;;;;
21;209.194;177.071;42.792;249.514;-113.728;203.325;;;;;;;
22;146.436;173.713;43.060;243.000;-114.717;141.861;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
