 ;Area;Mean;Min;Max;Angle;;;C_Generada;Error_Absoluto;Error_Relativo;Error_Porcentual
1;0;0;0;0;9.261;;1;9,26;3,1415;0,3392;33,9%
2;0;0;0;0;9.297;;2;9,30;3,1055;0,3340;33,4%
3;0;0;0;0;11.239;;3;11,24;1,1635;0,1035;10,4%
4;0;0;0;0;10.773;;4;10,77;1,6295;0,1513;15,1%
5;0;0;0;0;12.443;;5;12,44;0,0405;0,0033;0,3%
6;0;0;0;0;9.709;;6;9,71;2,6935;0,2774;27,7%
7;0;0;0;0;9.709;;7;9,71;2,6935;0,2774;27,7%
8;0;0;0;0;10.029;;8;10,03;2,3735;0,2367;23,7%
9;0;0;0;0;12.739;;9;12,74;0,3365;0,0264;2,6%
10;0;0;0;0;11.718;;10;11,72;0,6845;0,0584;5,8%
11;0;0;0;0;11.823;;11;11,82;0,5795;0,0490;4,9%
12;0;0;0;0;12.017;;12;12,02;0,3855;0,0321;3,2%
13;0;0;0;0;12.384;;13;12,38;0,0185;0,0015;0,1%
14;0;0;0;0;13.076;;14;13,08;0,6735;0,0515;5,2%
15;0;0;0;0;13.587;;15;13,59;1,1845;0,0872;8,7%
16;0;0;0;0;12.334;;16;12,33;0,0685;0,0056;0,6%
17;0;0;0;0;15.392;;17;15,39;2,9895;0,1942;19,4%
18;0;0;0;0;16.937;;18;16,94;4,5345;0,2677;26,8%
19;0;0;0;0;15.872;;19;15,87;3,4695;0,2186;21,9%
20;0;0;0;0;17.711;;20;17,71;5,3085;0,2997;30,0%
;;;;;;;Promedio;12,4025;;;25,9%
;;;;;;;;C_Generada;;;
;;;;;;;Des_estandar;2,47;;;
